FACILITYID,avg_pm25
10003732,7.8416668176651
10006524,8.600000381469727
10001345,5.755555629730225
10003736,8.372222264607748
10001180,9.026666641235352
10000079,8.941666603088379
10001185,9.133333206176758
10001183,8.946666717529297
10003083,7.920000171661377
10004339,9.050000190734863
10003712,8.599999904632568
10001582,6.908333420753479
10001182,9.099999904632568
10003307,7.166666746139526
10006522,8.083333492279053
10001173,4.386666774749756
10000083,8.958333492279053
10003308,6.916666865348816
10006529,8.555555661519369
10001187,7.366666793823242
10001172,7.350000023841858
10001175,5.5
10004335,8.844444274902344
10006525,8.983333587646484
10001909,9.911111195882162
10001178,9.946666717529297
10000262,7.308333396911621
10006526,9.922222137451172
10000621,6.433333158493042
10000087,9.933333396911621
10000081,8.941666603088379
10001578,6.575000166893005
10000439,6.750000238418579
10000090,8.266666650772095
10001318,5.755555470784505
10006528,9.016666889190674
10000941,7.353333473205566
10002066,8.127777735392252
10000043,7.425000071525574
10001330,8.626666641235351
10002117,8.366666793823242
10002248,5.272222439448039
10001090,7.976190498897007
10001099,7.39333324432373
10000605,13.003030430186879
10001080,6.839999675750732
10005863,9.125
10001096,7.891666769981384
10002246,11.733333349227905
10004633,7.600000023841858
10002105,8.866666793823242
10006311,8.422222773234049
10006544,8.766666603088378
10001853,7.744444529215495
10001949,7.299999872843425
10001869,7.816666841506958
10000576,5.280000114440918
10002228,5.360000133514404
10001745,6.3466668128967285
10001181,9.039999961853027
10002204,8.033333420753479
10000683,8.455555280049643
10002217,7.7222221692403155
10000572,6.233333269755046
20000220,9.794444561004639
10000682,8.120000076293945
10000685,9.483333110809326
10000676,7.639999866485596
10000662,7.9277777671813965
10000644,9.461111227671305
10002401,8.5
10002399,5.016666650772095
10006633,11.991666555404663
10000660,7.979999923706055
10002400,8.175000190734863
10005380,8.52500033378601
10000652,8.095238140651158
10000678,8.273333549499512
10000695,7.383333285649617
10004734,7.372222105662028
10000665,8.280000114440918
10002395,9.09166669845581
10002258,7.674999833106995
10000677,8.338888804117838
10000669,8.519999885559082
10002396,9.09166669845581
10000646,9.825000047683716
10000674,8.26111094156901
10000688,8.20666675567627
10002259,8.286666679382325
10000720,8.093333435058593
10000672,7.977777560551961
10000708,6.541666626930237
10006352,9.699999809265137
10000707,6.541666626930237
10000664,8.325000286102295
10000336,8.9333336353302
10000673,7.4666666984558105
10000771,7.549999952316284
10002153,8.591666221618652
10000422,8.006666564941407
10004712,7.80666675567627
10000693,8.399999809265136
10000368,8.966667175292969
10000339,8.600000381469727
10001065,10.173333358764648
10004575,7.62666654586792
10004555,8.600000381469727
10004920,8.008333206176758
10000395,7.5
10001054,8.149999856948853
10001060,8.186666679382324
10000396,7.508333325386047
10001075,7.425000071525574
