FACILITYID,mean_ozone,matched_fips,dist_to_tract_m
10002600,64.175,55079006800,448
10001632,56.428,29225470402,3884
10002560,60.2625,55009940005,2413
10001609,58.371,29049960100,3897
10004068,56.265,29215480102,5827
10001630,58.149,29221460300,2947
10005841,54.8185,29001951000,1313
10001608,58.371,29049960100,4278
10005864,67.647,29189210703,2728
10005865,67.647,29189210703,2675
10006556,61.327,29113810304,2273
10004060,62.642,29510125700,641
10004185,60.452,37147000800,1133
10005867,64.4405,29510126600,865
10005848,60.586,29047021206,1479
10001768,63.344,37183054106,1649
10006216,61.527,37037020401,3459
10011326,54.948,13049010102,6560
10000954,58.742,22059970200,1437
10001815,58.076,28121020701,986
10004259,61.83,28157950202,2454
10000508,54.99,12111382126,7017
10004260,57.3345,28113950601,3364
10006567,57.814,28119950300,1576
10005263,66.6245,06035040303,8538
10006568,55.9035,28049010700,5918
10004651,56.391999999999996,12086008430,603
10000388,58.895,12013010300,4319
10001751,58.442,37083931000,6743
10002174,59.613,12095016731,2364
10006348,60.156,37023021301,356
10003864,61.021,25013801604,847
10003861,55.5245,25025100100,431
10000459,59.004000000000005,12009064130,2329
10004614,59.306,12057012211,908
10000498,57.952,12093910201,4629
10004204,64.46033333333334,37025042102,1154
10004444,59.632,25017383101,0
10002101,59.496,25021409101,420
10006535,57.952,12093910201,4153
10001393,56.4845,25027761402,3762
10004451,58.631,25023980200,152
10000282,59.496,25021409101,1837
10000374,62.431,12073001901,978
10000281,55.670500000000004,25017361200,2045
10002182,65.193,12105015200,312
10002098,58.631,25023980200,481
10000480,65.959,12103022000,489
10004611,57.989000000000004,12103024519,1024
10002178,59.4495,12105015000,1490
10004188,59.489,37021002607,2414
10004567,58.923,12023110500,2667
10006383,64.591,18097352700,322
10006324,60.957499999999996,12097042202,1612
10001401,55.382999999999996,25025980300,672
10004449,56.5775,25027707500,2539
10001022,62.153499999999994,37183050800,55
10004612,58.795,12101030411,1244
10001392,55.5195,25017363105,2748
10001396,56.4845,25027761402,4360
10001547,60.035,24043011000,153
20000263,56.9125,25027761200,2349
10000252,54.538,48489950400,3402
10001546,60.035,24043011000,382
10002510,52.562,53015001000,595
20000264,58.696,25005613600,599
10002359,63.40050000000001,24013505203,1383
10001560,62.8305,24003740400,496
10006536,53.7635,12086011407,1936
10004656,55.823,12086010622,85
10000772,59.068,06035040600,2161
10006537,60.134,12027010102,8913
10001616,59.608,29095015200,378
10006380,60.92,42003980900,328
10000990,59.2175,55017010500,2340
10003592,60.449,40005587600,10603
10003572,64.6305,40017300702,5059
10003047,55.51,42127960900,4587
10001697,58.505,55027960300,570
10002579,60.327,55039041102,1959
10000122,56.699,21013961100,2864
10004034,73.572,24510100300,95
10002556,57.5975,55053960100,10404
20000280,64.009,24510100300,178
10000101,61.3065,21185030200,453
10001170,55.948,21115960600,6610
10000109,60.6315,21067003703,2022
10006315,54.101,48215024600,1853
10000112,56.076499999999996,21071920500,820
10000115,56.403,21129950100,3723
10003645,56.669,21019030800,956
10000980,58.333,39101010202,796
10000110,56.417,21175950400,3503
10003638,66.095,21037050100,336
10000121,59.5025,21143960102,6909
10003651,58.372,21067003703,2327
10000106,61.541000000000004,21185030501,1969
10006314,58.487,48355005900,7414
10000107,56.518,21063920200,6694
10000102,61.3065,21185030200,873
10004327,56.535,21231920401,4529
10000017,58.076,54107000902,626
10002301,64.31,34021001300,1040
10000737,57.588499999999996,42111020802,4059
10001044,58.054,20155001000,1277
10005222,58.075,42069100200,286
10001043,58.675,20155000700,1492
10001145,61.267,45065920200,414
10001830,56.5355,20145970200,5392
10001034,59.744,20177000700,1361
10001031,59.3855,20103071102,2674
10001729,60.575,40107080700,6851
10001832,56.5355,20145970200,5849
10000463,61.5255,12095014504,800
10001048,59.53,20173002600,595
10001544,54.121,24001000100,6116
10001732,65.19749999999999,40027202405,589
10001733,65.19749999999999,40027202405,2592
10003121,56.781,42059970501,447
10004015,62.951,34001010600,4316
10000814,52.695,06087120400,2840
10003077,62.507,42063960900,2729
10003082,57.8765,42061950302,123
10001133,60.667500000000004,45069960201,5615
10001150,56.881,45053950203,6777
10002688,58.757000000000005,45085000100,4635
10002347,54.911,06025010101,2803
10002348,63.404,06025011100,10902
10001458,57.147999999999996,12043000202,9026
10004606,60.948,12097042300,897
10000519,56.266,12099007818,1282
10002629,65.013,40109108110,2081
10001722,61.474000000000004,40047000702,1359
10002361,64.087,24510280500,320
10001652,57.291,22039950302,8521
10001519,62.0655,34011020502,0
10001566,62.753,24033801005,1683
10006310,78.0295,06071009129,2823
10005361,63.44,06025011500,598
10006205,60.704,12113010809,5946
10003580,63.1285,40125501005,4380
10000461,63.135,12095014908,194
10003584,63.23,40121486200,942
10002689,58.5635,45037970400,2478
10003387,60.548,39029951100,3864
10001143,64.281,45079010408,1445
10000244,65.4425,48039661901,4206
10000237,61.714999999999996,48325000200,11031
10000211,65.733,48471790500,1343
10001163,56.765,23013970402,5153
10002692,61.948,45089970802,0
10001811,56.166,28163950300,2502
10006201,58.198,54077963801,3340
10002330,57.0265,06001450102,387
10003598,57.232,54021980000,396
10001812,56.166,28163950300,2899
10001435,59.466,12033003305,1074
10000118,56.9915,21051950302,2540
10006198,56.166,28163950300,3885
10003135,56.439,36031960401,2723
10001301,47.95,41071030501,10554
10003068,56.164,42119980101,0
10002800,66.1955,48141010203,955
10003652,60.6315,21067003703,2204
10001125,59.6815,46135966100,676
10001283,64.649,48245011302,129
20000300,72.567,24510200701,767
10000863,47.64,06083002604,1101
10003385,60.599000000000004,39029951402,2012
10000833,76.225,06071980200,1711
10003764,49.004,53009940000,905808
10000831,76.225,06071980200,2016
10003614,59.8575,05123960600,1945
10001135,60.888,45069960302,4809
10000627,65.34649999999999,04019980100,0
10006180,65.2975,06019008303,5049
10003069,55.835,42119980501,233
10001134,60.888,45069960302,3985
10003070,55.835,42119980501,146
10000887,55.5385,06037980031,843
10000867,47.64,06083002604,1593
10001875,55.483,54083966500,7101
10006199,58.198,54077963801,4324
10000806,72.778,06047000503,3612
10000892,65.264,06037207102,585
10006193,65.34649999999999,04019980100,256
10006299,45.540000000000006,06083980400,1446
10001146,58.2375,45037970204,3959
10000935,63.271,09001211100,54
10006171,58.2375,45037970204,4143
10001873,57.843,54069002700,173
10006944,51.521,23005004803,2721
10001938,53.054,23019031200,9046
10002693,61.948,45089970802,931
10001382,61.475,26161980300,0
10000044,58.287,54081001500,3546
10005303,57.0265,06001450102,279
10003757,49.004,53009940000,2171102
10006196,58.6255,20103070200,1375
10005261,59.068,06035040600,2339
10001238,49.004,53009940000,2160936
10001346,53.482,26013000200,17447
10006374,59.0965,42043021200,491
10006200,58.198,54077963801,4090
10000006,58.198,54077963801,4421
10006177,56.4995,54047954503,5675
10006175,52.295,33007950600,3571
10000100,56.765,23013970402,4358
10006178,56.4995,54047954503,6652
10001165,51.521,23005004803,2802
10001958,49.004,53009940000,2820474
10000004,58.173,54061011000,553
10006152,59.298,54025950500,11131
10000613,61.658,04009961400,10575
10003615,59.8575,05123960600,1182
10000624,65.34649999999999,04019980100,926
10000141,55.698499999999996,01101000900,913
10005694,60.888,01121010700,287
10000603,71.1225,04013610301,2520
10006173,56.642,01107050400,8830
10006174,56.642,01107050400,8497
10000257,54.225,41031960202,3846
10000136,60.888,01121010700,278
10003616,59.8575,05123960600,1595
10004922,60.288,18167011200,2447
10006194,71.651,06047000801,3396
10006148,61.01,37077970704,1787
10001761,61.01,37077970704,1180
10004008,61.3805,34005982200,1717
10000830,78.656,06071009126,1957
10000832,78.656,06071009126,1944
10000581,61.319,08043980200,112
10005378,67.583,09001211100,20
10000770,61.3805,34005982200,1656
10000456,58.650499999999994,12119980100,854
10000338,57.179,12063210700,3192
10003202,58.404,36071011500,3809
10004595,62.367,12119910900,938
10001633,58.534000000000006,29077005801,212
10001265,64.083,48113008500,649
10004241,56.166,28163950300,3236
10001320,54.592,27115950300,9777
10004921,60.526,18167001900,2927
10003017,55.0805,27137000302,1143
10004923,60.288,18167011200,2018
10006195,53.922,13305970500,939
10004023,57.685,54057010100,3076
10004019,62.155,34011010402,331
10004095,56.9955,22003950202,593
10004447,56.4845,25027761402,2103
10001520,64.525,34011010402,0
10002323,56.4745,06095253000,220
10004446,56.4845,25027761402,1989
10000679,60.399,17005951300,2490
10001728,64.6945,40017300701,2279
10003578,65.0565,40109107101,1170
10001727,64.6945,40017300701,1929
10000189,61.054,48049950800,1300
10000680,60.399,17005951300,2216
10000550,55.7875,12086020100,825
10006172,57.311,42083421000,10949
10003066,56.164,42119980101,624
10006512,58.268,26161421900,0
10000712,55.51,42127960900,3079
10003084,61.324,42021012300,4084
10001470,63.103,17031839100,495
10000713,55.51,42127960900,3365
10003067,55.959,42119980101,278
10001484,56.006,42083420900,10513
10004732,60.869,17199021400,4639
10003116,68.455,42101000100,429
10003229,63.721,36047010100,263
10003075,59.495000000000005,42107000902,2834
10003662,55.948,21115960600,6438
10000955,58.73,22043020402,1647
10004330,56.8365,21147960401,1189
10004331,56.8365,21147960401,1803
10001029,58.6255,20103070200,800
10004089,57.3405,22043020406,1655
10001337,57.458,27109000200,601
10001941,56.157,21019031002,199
10006197,56.9955,22003950202,501
10000968,56.9955,22003950202,280
10004659,69.877,08059980400,64
10000956,58.73,22043020402,812
10000659,59.8,17179020900,1937
10001678,50.3815,53033028801,511
10006508,57.294,17015960600,8161
10000119,56.9915,21051950302,2324
10001940,56.157,21019031002,38
10001459,56.266,12099007818,1186
10000632,62.890499999999996,04003000503,7649
10002245,72.0775,04013981000,39
10003330,57.3185,51105950302,3265
10000606,69.372,04013061017,0
10000994,58.569,55001950502,9130
10002968,49.542,41047000702,296
