FACILITYID,npl_prox
10001470,0.04674627169027429
10001484,0.02679683236455737
10001489,0.02056410583104794
10001492,0.031993913825879544
10001496,0.03222736563491566
10001504,0.1624511205384603
10001512,0.12473497921482626
10001515,0.1721587065160862
10001516,0.2250051039167237
10001518,0.052107003015169746
10001519,0.06818780572020802
10001520,0.08564234332260583
10001522,0.025716513076565837
10001530,0.04083058960264972
10001542,0.1691530745724956
10001543,0.16861407985713345
10001544,0.038230841602930984
10001546,0.10042600934693245
10001547,0.0921095878085087
10001548,0.09623933467565848
10001550,0.15451010224078948
10001552,0.15801500176114
10001555,0.8079836289469156
10001556,0.02525322596761541
10001557,0.13927666450485807
10001559,0.15278073908063547
10001560,0.13969958271324198
10001566,0.211001219235622
10001569,0.01871730349357046
10001572,0.08879194414698192
10001573,0.020508507562045915
10001574,0.043124060386109914
10001575,0.04163675564947964
10001578,0.1479360809239732
10001579,0.03792138400656609
10001581,0.03983742639476758
10001582,0.07980984495441533
10001583,0.024171899067560208
10001584,0.08909601038686789
10001585,0.08957615472389105
10001586,0.09385278007272424
10001588,0.011821353768870717
10001589,0.021422741769274892
10001590,0.021378241256216707
10001591,0.019008758814155337
10001592,0.016439006475371255
10001593,0.023747081162475845
10001594,0.024231160926626354
10001596,0.013329510321555636
10001597,0.013095137092624894
10001598,0.01588534042626007
10001601,0.015808061492454412
10001603,0.015263120612502913
10001605,0.052097022088674456
10001606,0.009775354641996395
10001608,0.017206165875929016
10001609,0.017185600637476435
10001612,0.015588720137720296
10001614,0.01564651594227149
10001615,0.014572084540894424
10001616,0.18164813856703826
10001617,0.015097454394460669
10001619,0.014963721078323696
10001622,0.009034015654034402
10001624,0.06687625748773898
10001626,0.024341170372790755
10001630,0.33085923748695634
10001631,0.07362111865408019
10001632,0.05563269781179176
10001633,0.14762918921485077
10001636,0.04761716928167894
10001647,0.009263655232502303
10001652,0.040196043523435525
10001676,0.026655881966227958
10001677,0.08181332081824177
10001678,0.7246483586643615
10001679,0.02967319709453684
10001681,0.013052586155290537
10001684,0.059706861908916255
10001687,0.019738143470216515
10001690,0.05087596200228247
10001696,0.04404439876683912
10001697,0.043765866692084425
10001705,0.018344085234207875
10001706,0.018310369868183546
10001708,0.019478978985643415
10001709,0.01960532495867775
10001711,0.024028769645425916
10001713,0.01501803021053975
10001716,0.04863117933491674
10001717,0.05172267178326825
10001718,0.12305494292733381
10001720,0.11470332650276557
10001721,0.1271457327846535
10001722,0.00940089604651915
10001725,0.044684713679669925
10001727,0.017910876206462315
10001728,0.017841955757913322
10001729,0.02413650979564727
10001730,0.007410152345691751
10001731,0.022910173045007646
10001732,0.06380726739576179
