FACILITYID,flood_risk_area_m2,flood_risk_percent
10000949,1827098.7377852653,36.14057621786677
10000430,873386.6236858263,22.095579900379818
10000329,2268194.300272792,55.89190160990489
10004747,NA,NA
10001045,0,0
10006290,84580.94527865392,2.2723632042654276
10004094,111708.28629306414,1.9864660938998784
10001907,3145263.3162378646,85.13862529609193
10005933,NA,NA
10002187,0,0
10003000,850866.1768811828,20.491592756522657
10000546,5202059.254722312,100.00000003926924
10005599,307142.9965095342,6.5416305401370956
10000259,627406.3039959429,13.244133986311093
10000467,524167.28147707315,11.069536375361585
10006613,301840.927174176,8.50860094237683
10000691,1555783.0176313152,40.8293401748268
10003008,0,0
10000460,1678993.5930233388,44.53094686018693
10000504,NA,NA
10000658,372226.9632672827,7.649105324873343
10006167,NA,NA
20000240,185428.16485004924,5.500200370743771
10005267,0,0
10000633,223473.34276044782,4.57529603736686
10005319,1426.588854093308,0.035381944913624216
10005362,66234.60347219564,1.7977157686661531
10000308,55679.96787681395,1.4657286367180533
10001041,NA,NA
10000840,0,0
10005275,0,0
10000642,556588.9510487649,8.772790328904872
10004852,NA,NA
10004527,1182187.8441608213,31.309358796487906
10000653,552477.1090670144,11.151172842210396
10000545,4367968.785991713,100.00000002447268
10004812,NA,NA
10003928,447113.8418950203,12.860454209402574
10001030,2108543.623269692,46.083189080640274
10001028,NA,NA
10001162,373384.4198117557,9.75602169965607
10002488,634256.1806997594,16.239931352577297
10000874,298589.831425638,8.31834592591746
10000689,0,0
10006350,NA,NA
10002121,653923.9960629448,19.255190417269972
10001033,340416.0911155144,6.744627950751386
10006209,39692.82013276071,1.0032998914021092
10000671,1051.5920547326523,0.023483205652775938
10001050,72615.79882022474,1.8993277790009317
10002102,0,0
10004505,297199.22121377,7.973078455986976
10000655,503083.03342095006,10.718954737446444
10000319,674202.6427652657,15.575565234392549
10004616,229727.06528262433,6.73904401740977
10001605,410109.7554345215,8.358302541919237
10001972,1909856.9849379566,49.12004608010198
10000084,557921.5749752587,12.434725967820667
10003678,132719.30847300394,3.309457518707579
10006326,472553.4753752491,12.170832261302136
10006327,229481.7852493895,5.7854343420537555
10006596,903606.868800049,27.360255793248317
10003647,219203.55425745295,5.600939151843895
10000503,NA,NA
10000361,188348.3326535759,4.9144598452600015
