FACILITYID,trafficProx
10002259,536.6029813580461
10000720,0
10000672,13.133887125089524
10000708,168.78047498236634
10006352,0
10000707,327.9986949321757
10000664,0
10000336,0
10000673,31.680854250079665
10000771,0
10002153,0
10000422,0
10004712,0
10000693,35.13041680384763
10000368,50.026057428473955
10000339,0
10001065,455.5895633490477
10004575,0
10004555,0
10004920,0
10000395,37.72711740229303
10001054,0
10001060,128.19752109126108
10000396,15.234629372946186
10001075,19.545026496609836
10001071,193.0750007377903
10000585,0
10000432,0
10001059,59.48415928177234
10003012,0
10006309,89.5411119653448
10001073,29.676358904016418
10003002,0
10000560,132.2654765525887
10002997,0
10003006,0
10002192,27.755825547730332
10000562,228.2087025265665
10002210,0
10004913,0
10000261,1125.4258118304517
10002843,0
10000385,0
10001063,0
10000414,217.42777061413204
10005258,0
10001052,84.89454068514894
10002991,0
10000428,25.993842982380684
10000260,1240.5106148990392
10000384,0
10000871,648.5961751856242
10000949,500.6237513386175
10000430,43.7600878703704
10000329,126.84872318330166
10004747,0
10001045,13.427564151520238
10006290,0
10004094,0
10001907,0
10005933,377.9315923874584
10002187,0
10003000,0
10000546,0
10005599,40.03419376716986
10000259,25.592742849321727
10000467,210.7035589008616
10006613,1045.994388077893
10000691,0
10003008,0
10000460,592.9968435326832
10000504,15.146075636584145
10000658,51.793797703514606
10006167,0
20000240,0
10005267,0
10000633,0
10005319,0
10005362,0
10000308,0
10001041,0
10000840,4151.152152007238
10005275,0
10000642,0
10004852,0
10004527,15.903451011701026
10000653,212.12653103990428
10000545,0
10004812,10.800368334456385
10003928,10.625835574550678
10001030,0
10001028,4.984000356035133
10001162,0
10002488,307.0853603020522
10000874,1599.8609597499467
10000689,0
10006350,0
10002121,1830.3508072225106
10001033,162.70856407200026
10006209,38.06658956305945
10000671,49.97259028718197
10001050,0
10002102,0
10004505,6.22153505468442
10000655,31.101986979513516
10000319,0
10004616,0
10001605,153.56575837777308
10001972,0
10000084,0
10003678,149.32487740120823
10006326,0
10006327,0
10006596,710.9565234386887
10003647,46.23749875493581
10000503,19.315007234040664
10000361,0
10000518,403.4237710549068
10004312,347.84857046738944
10000403,0
10000382,0
10006210,0
10000647,0
10000667,0
10000457,0
10006597,700.9637008320186
10000455,0
10000687,0
10000635,1781.7321606752294
10006389,150.33205010527615
10004667,613.6133136615597
10006351,0
10000641,81.89295038368216
10000657,369.316561608524
10004677,4.345766632865302
10005054,318.3303143987028
10000263,0
10001325,389.50399154180985
10001319,42.21408086664039
10001333,14.94664701988298
10001062,18.45372280708503
10004176,0
10001067,0
10001236,0
10003680,0
10001944,477.7225349537018
10000316,0
10006749,0
10000320,6.824076986847718
10000325,0
10006339,0
10002138,0
10006154,0
10002144,0
10003880,53.84907327383127
10004497,0
10001415,55.69420374396031
10006453,0
10006322,0
10001759,0
10000309,0
10002147,298.83152617154775
10000307,0
10000328,0
10004216,0
10004177,137.58458875301758
10004487,0
10002139,0
10000116,0
10000120,0
10002118,242.2511041190618
10000293,39.202577016285616
10001424,0
10004551,0
