object_id,mean_ozone,matched_fips,dist_to_tract_m
193,66.901,06061021046,372
194,66.662,06061021037,681
195,66.422,06061021038,776
196,66.717,06061021045,773
197,67.264,06061021003,679
198,62.961,06017031302,1080
199,67.282,06061020717,727
200,67.785,06061020604,1696
201,68.6475,06061020604,1671
202,67.64500000000001,06061020712,574
203,68.6475,06061020604,2667
204,68.15,06061020605,1676
205,67.399,06061020711,0
206,67.181,06061020713,773
207,68.15,06061020605,200
208,67.189,06061020712,482
209,68.14,06061020711,465
210,66.038,06017031200,2337
211,67.643,06061020710,387
212,67.643,06061020710,1281
213,69.257,06061020605,523
214,67.987,06017030801,137
215,65.329,06067007430,279
216,66.038,06017031200,1881
217,64.55,06067007417,464
218,65.7975,06067007437,542
219,64.5955,06017031405,1398
220,65.34649999999999,06067007439,526
221,66.03800000000001,06067008127,334
222,68.406,06067008124,145
223,66.934,06067008143,267
224,67.096,06067008124,0
225,67.096,06067008124,626
226,69.577,06067008211,853
227,66.16,06067008127,325
228,65.039,06067007434,248
229,67.6625,06067008142,1019
230,66.564,06067008132,486
231,65.2975,06067007429,174
232,65.5275,06067007428,248
233,66.874,06067008211,553
234,68.81649999999999,06017031700,1221
235,68.81649999999999,06017031700,982
236,66.457,06017031502,1223
237,67.48400000000001,06017030811,1637
238,64.721,06067007414,234
239,59.604,06113010901,840
240,67.02,06067008402,513
241,67.529,06067008509,823
242,67.818,06017030803,1125
243,66.949,06017030812,117
244,64.509,06017031506,1026
245,61.649,06067007109,247
246,61.649,06067007109,96
247,67.02,06067008402,657
248,62.6925,06067007208,812
249,65.68,06067008135,653
250,69.39,06067008402,552
251,67.928,06017031800,1467
252,65.4185,06017031505,1709
253,61.66,06067007105,295
254,67.001,06067008135,577
255,67.3505,06017030810,503
256,67.3505,06017030810,978
257,66.457,06017031502,1745
258,62.507,06067007104,144
259,61.548500000000004,06067007110,271
260,64.8885,06067007403,540
261,67.86699999999999,06067008137,366
262,67.107,06067008207,930
263,59.42400000000001,06113011001,671
264,59.675,06113011101,539
265,62.507,06067007104,18
266,62.827,06067007105,572
267,65.24350000000001,06067007423,0
268,65.571,06067007501,238
269,66.7155,06067008134,232
270,69.244,06067008506,619
271,67.369,06017030808,532
272,60.498,06113011205,0
273,65.571,06067007501,584
274,67.107,06067008207,622
275,59.917,06113011102,263
276,61.548500000000004,06067007110,426
277,61.918,06067007106,745
278,65.448,06067007424,398
279,68.636,06067008139,409
280,65.30199999999999,06067007424,329
281,65.30199999999999,06067007424,0
282,65.805,06067007503,283
283,66.799,06067008204,1181
284,66.2575,06067007604,361
285,67.309,06067008006,834
286,67.293,06067008505,1087
287,60.23649999999999,06113011211,1549
288,66.2575,06067007604,181
289,68.504,06067008008,557
290,68.9055,06067008006,317
291,66.569,06067007905,808
292,69.20949999999999,06067008504,390
293,67.77,06067008507,251
294,60.23649999999999,06113011211,2102
295,61.374500000000005,06067007025,464
296,62.916,06067006704,372
297,67.309,06067008006,493
298,62.988,06067007018,272
299,62.788,06067007016,551
