object_id,trafficProx
510,169.87311767403165
511,181.37333361288546
512,326.4034789894438
513,1353.545023467963
514,11752
515,122.51973826187687
516,132.23401731665848
517,103.13052981287895
518,155.7925569071579
519,31.497777984821173
520,95.34817824640334
521,38.18854598110138
522,26.49697262207052
523,27.37866360196692
524,0
525,134.37362377364335
526,39.606439415302624
527,436.48068457524744
528,0
529,101.07943234294126
530,63829.95199307411
531,108.37935011707276
532,8369.956109596707
533,210.9350681078953
534,0
535,0
536,0
537,20891.70974673503
538,534.415453856067
539,0
540,0
541,0
542,214.1357103536106
543,7773.4660193841855
544,0
545,17513.534149750754
546,2392.825693026328
547,1672.6641887160233
548,597.4214937134017
549,0
550,0
551,75.11404495466702
552,108.78358699437135
553,0
554,0
555,0
556,0
557,0
558,0
559,57863.712178857575
560,25472.79492553439
561,84317.9028296822
562,0
563,0
564,94.14347233403986
565,169.10232623963276
566,75.2011038266395
567,0
568,230.22270672000872
569,3441.157018575861
570,4465.142204124226
571,89.82666177268229
572,91.33397965439235
573,5846.892010536616
574,18399.75429103392
575,11278
576,9947.693422083623
577,607.3181384947009
578,123.41767700244512
579,22.07632662908212
580,22008.238666189034
581,10463.700094253942
582,0
583,3275.239290205439
584,87041.66834117337
585,0
586,19.146125272572647
587,0
588,44.37312984757395
589,7227.910397547619
590,6313.619922687584
591,844.8666988400807
592,46.20095797859252
593,0
594,0
595,15523.072769291948
596,158.63102122299108
597,49.596484692336084
598,16953.747785008567
599,0
600,0
601,0
602,564.2210307473305
603,333.40868331439145
604,0
605,0
606,0
607,244.66663217110505
608,531.3344451102397
609,139.61287526298514
610,15.155447137508853
611,42.44792865420131
612,1827.9415555354844
613,0
614,0
615,45.364055035239105
616,12795.256302399352
617,547.0412905802553
618,696.1690466018522
619,1002.3282463226941
620,4575.454490191945
621,7072.278330978537
622,1683.19827609149
623,768.5284719118783
624,17.63863364570629
625,40.915915055602895
626,107.77207291876289
627,0
628,0
629,0
630,110.64375624004572
631,26.366037126113525
632,84.62909818049512
633,64.64077399714759
634,13579.210447426238
635,24505.252001418914
636,15508.86385477187
637,66.83918269269263
638,49.36761648912117
639,869.4875917504735
640,498.6701911010692
641,26.0911830916114
642,31.23466157699181
643,33.96112839211962
644,100.66524301487138
645,121.97239978364139
646,14378.768011555307
647,12610.2052821084
648,204.82287087334487
649,0
650,44.81577424870512
651,1092.409208429025
652,1520.8356756628993
653,16112.357663878138
654,48.07239139944902
655,216.90405715626588
656,195.1153768187394
657,17510
658,51.91874179503944
659,0
660,117.8247553982044
661,205.37070257958496
662,85.12927263050824
663,79.17758906514834
664,22278.394958491248
665,0
666,22.80236221512693
667,642.6954749146961
668,0
669,0
670,200.61322830239317
671,93.00347224651495
672,0
673,0
674,0
675,0
676,0
677,306.484883492065
678,0
679,63.58015975716109
680,39.138985595263286
681,224.92772560101602
682,0
683,1178.0617019410088
684,1202.5173536058683
685,0
686,52.49915781065257
687,114.24905484620544
688,4194.914641966866
689,70.00089767529033
690,1729.7580322003002
691,97.5833850408739
692,35.76884710610583
693,65.68480951744229
694,203.80068825994914
695,86.86348672024408
696,535.753726333955
697,818.8578022837776
698,14.24522786594212
699,75649.86150093647
700,3.481342011705
701,226.65365097011755
702,104.84347417446227
703,50044
704,144.96127818487787
705,93.35915117878396
706,55.592023470139324
707,20.39772643280443
708,27440.307032293746
709,23.063427594646456
710,0
711,107.51361085594522
712,16426.636023604227
713,206.8986514372384
714,904.9741842699234
715,77.01210048815167
716,10392.95217639555
717,262.5302471473797
718,45.64743969909654
719,246.55008732278182
720,24632.261565981204
721,82.43916672759674
722,153.86144203726934
723,10466.765194784935
724,11233.60137804365
725,0
726,80.91381253680437
727,240.46845692165917
728,338.40598483641577
729,316.954342200127
730,0
731,101.08749526740785
732,35430
733,12.191738753079568
734,24886.065320404294
735,126.41600121165874
736,245.80965095387327
737,15088.590493178166
738,14883.206106860132
739,263.43186563967214
740,328.9660866063736
741,5694.497019056379
742,14.155300066754464
743,13064
744,7135.474069364493
745,149.33511542085523
746,269.1214365361719
747,0
748,25471.52061606404
749,185236.84448418062
750,9008.41402162575
751,72.83272269166514
752,173.49315126705363
753,478.37598896301733
754,26627.822190658153
755,0
756,298.76636924098227
757,0
758,162.69648242585302
759,14152.463711547955
760,4930.799409126713
761,380.4963516051145
762,1268
763,0
764,22020.454900834728
765,135.36787417956856
766,119.50862650664627
767,140.89520823324048
768,721.8788380947731
769,0
770,16375.312381201344
771,5195.441549993509
772,184.55182250707742
773,21.22496090721736
774,1126.8982224820338
775,4020.7997116934202
776,16170.482041575278
777,15678
778,345.3948248495351
779,594.056526899429
780,385.04578211084527
781,6448.1786212240595
782,0
783,15.910345971703334
784,150.32412607405928
785,286.04798986332344
786,305.3229623368206
787,172536.68805927015
788,4943.117125292005
789,0
790,0
791,56.86900362464189
792,1178.1392187472213
793,0
794,437.23122943081137
795,2885.704453236012
796,6341.319172595498
797,533.3163244084761
798,0
799,0
800,11.828055758145998
801,296.771471350312
802,0
803,1451.2589730826803
804,355.48645227687746
805,597.7730927909488
806,84.34642548048652
807,115.43063170948245
808,155.31150809079722
809,8.688108151214202
810,27926.08544913835
811,14.737888170067057
812,0
813,16001
814,19096.6185589986
815,308.901969995552
816,24488.1525908261
817,12360.43138632152
818,42476.51639094901
819,20893.771038663308
820,1323.1576150056135
821,2272.6720197887357
822,13477.465489843482
823,19300.696850461554
824,1.8152890073331882
