object_id,flood_risk_area_m2,flood_risk_percent
92,395046.48275025235,9.681917641669305
93,374305.7850009144,9.173592541175564
94,659794.0243209967,16.170398770453662
95,28154.028305668904,0.69000472161756
96,1401725.466586576,34.35375435167177
97,398257.7642253417,9.760471044508863
98,334952.52333025675,8.20897003695437
99,448030.1526424691,10.980260910195332
100,362067.36175216624,8.873474073989389
101,141757.9635786722,3.4741623472006107
102,209396.51892324892,5.131814999344648
103,0,0
104,240352.83610325615,5.890447505852409
105,0,0
106,6569.493183639155,0.1610014533703739
107,0,0
108,0,0
109,0,0
110,227227.98312669413,5.568733283809717
111,NA,NA
112,0,0
113,569236.5619724531,13.950298856326043
114,290271.4869648317,7.113665502246226
115,NA,NA
116,105726.27300938735,2.5910124051977923
117,203650.2367356252,4.990808827798162
118,385221.6504785862,9.440531072247646
119,0,0
120,966778.6628819188,23.692573755375644
121,147955.04719372914,3.6258743812669016
122,761586.3590882381,18.66386446162028
123,32551.7229809157,0.7977308659198927
124,6343.016268725281,0.15544453992107765
125,644483.4815154332,15.793964600883111
126,114119.8746090143,2.7966592101279115
127,2108899.178282467,51.681344474071814
128,274244.5112307408,6.7207176935861535
129,58984.293308291126,1.44548574279568
130,NA,NA
131,161208.66915703707,3.9506050132082464
132,150828.21964375043,3.6962177286723095
133,0,0
134,1240962.7662514679,30.411209441278853
135,NA,NA
136,218699.35356390537,5.359470526164892
137,414219.73344927566,10.150908093824198
138,0,0
139,439818.22031897225,10.778213306896726
140,35167.242242312044,0.8618101281038228
141,NA,NA
142,298216.9894020761,7.308115214684503
143,167275.19234999362,4.0992512891483495
144,1231603.815872827,30.181607685866236
145,0,0
146,0,0
147,985684.7367450392,24.15511440529641
148,163619.93576177984,4.009655016700029
149,162358.1569208317,3.978660501072801
150,193441.00130908593,4.740356726208736
151,93739.54408771326,2.29712871273774
152,679461.8261930388,16.650510575310182
153,495597.9106623658,12.144836812092107
154,379500.8418433056,9.299722396421298
155,0,0
156,0,0
157,1082013.0176323166,26.51474874375066
158,116771.2579424035,2.861474524529049
159,442017.01466177934,10.831593662509427
160,58088.61854202246,1.423450884915369
161,81381.02113434118,1.9942256464451338
162,616619.7541240227,15.1101245267664
163,605566.5602703352,14.839268566619202
164,NA,NA
165,0,0
166,583659.7828968934,14.302411664342024
167,408760.7255477179,10.016523379470952
168,145766.51597403226,3.5719497873987955
169,6653.460269613508,0.16304005415528008
170,0,0
171,0,0
172,402864.2539251443,9.871982406226792
173,238333.08490614287,5.840226582918506
174,148212.73177147828,3.631867918724744
175,145282.63873240686,3.560067670660575
176,205267.99541980255,5.029968009464843
177,0,0
178,0,0
179,159246.4509059517,3.902210626070097
180,NA,NA
181,NA,NA
182,NA,NA
183,NA,NA
184,35448.65740774013,0.8686396159650217
185,0,0
186,4741.517468294576,0.11618683460692762
187,46283.99701787036,1.1341498038172284
188,0,0
189,70435.21710971142,1.7259537215302976
190,0,0
191,377561.7582784407,9.251816554700623
192,43778.85572877622,1.0727614116307538
193,NA,NA
194,20652.07507925783,0.5060598476067798
195,0,0
196,NA,NA
197,NA,NA
198,NA,NA
199,197078.79595601707,4.829219900544589
200,205309.27482957576,5.030899600150927
201,324987.08347671485,7.963480221954418
202,224675.50769203776,5.505442880774576
203,216801.99739427224,5.3125105862803865
204,191743.71101884212,4.698479994144852
205,233090.4225689022,5.711634481496781
206,564860.0074630363,13.841288760661843
207,NA,NA
208,539081.5239171236,13.209606272502928
209,350005.3848681829,8.576501182545634
210,NA,NA
211,358102.9476206724,8.77491757373391
212,86096.69219078028,2.109704436573501
213,117435.18110031879,2.8776195260570594
214,0,0
215,232693.5475066419,5.701891365570654
216,159970.89844823882,3.919905362131329
217,903510.583830825,22.13947359794543
218,9008.13710202427,0.22073389853531816
