object_id,mean_ozone,matched_fips,dist_to_tract_m
123,57.516,54045956200,5277
124,66.412,26147637100,1727
125,63.5495,29186960200,694
126,57.7565,13259950100,9089
127,52.562,33017081600,1685
128,64.4255,56037970903,5546
129,62.989999999999995,48491021100,667
130,61.368,48451001800,1189
131,66.074,49045131200,962
132,63.652,35057980000,10361
133,63.096,40143002500,939
134,55.453,12086009100,495
135,55.7995,23015975500,5028
136,65.3045,56041975401,4886
137,58.362,48465950601,2418
138,59.812,48469000100,505
139,55.941500000000005,12131950202,3689
140,54.349999999999994,38101010100,316
141,57.963,05143011101,1039
142,63.206,49053270904,3625
143,68.5575,32031002622,688
144,60.17966666666666,55133202700,1259
145,57.263,48479001817,817
146,67.099,49057200400,1412
147,57.7315,54011010203,1494
148,63.2145,47167041000,3207
149,58.0875,51161030501,3519
150,65.375,48485011400,2472
151,59.744,48493000300,2067
152,55.039,22127960201,1555
153,62.945,19193001300,920
154,58.6085,44007010900,446
155,57.059999999999995,30111000902,795
156,60.040499999999994,05091020500,1229
157,57.7495,16031950400,1100
158,63.747,46099000700,779
159,63.841,26115832000,1088
160,56.11,36057072200,1937
161,65.0115,48339693904,521
162,57.943,42027010300,3927
163,62.149,19139050900,451
164,70.936,36059407802,396
165,61.014,56025000200,2288
166,59.6785,22089062700,4515
167,68.2465,32023960412,3798
168,57.694,37129011610,748
169,59.645,36063023600,2271
170,57.871,54017965100,4871
171,60.379000000000005,26085961200,10095
172,62.0895,39099800502,718
173,58.54900000000001,54051020200,243
174,51.6935,53053061601,1518
175,58.115,27119020700,2146
176,55.1145,50011010600,4520
177,53.421,51069051102,793
178,61.3065,21185030200,2611
179,61.135999999999996,21185030301,2382
180,61.567,12095014503,661
181,59.053,36071011900,2737
182,59.040000000000006,06073010015,3907
183,63.8875,35035000903,5761
184,57.067499999999995,29153470101,7534
185,58.4855,46103010202,708
186,54.373,29161890900,1498
187,52.999,31137967000,1778
188,56.429,01107050300,5782
189,57.251999999999995,42103950501,1543
190,58.676,22039950200,8295
191,65.666,12103024510,207
192,58.361,56031959400,14161
193,58.58,25023530500,1356
194,65.193,12105015200,6
195,59.291,19153000201,3138
196,56.97,48061012301,1658
197,57.505,19155030200,1069
198,66.053,48251130410,317
199,59.269,47141000500,1248
200,58.605000000000004,51179010218,2922
201,56.923500000000004,22073010605,2304
202,57.055499999999995,48479001827,886
203,57.211,22029000202,2830
204,60.083,51670820500,654
205,58.355,51770001100,352
206,63.268499999999996,13063040637,2210
207,57.0055,51660000204,1065
209,55.769,23005001300,566
210,62.786,19193003600,2734
211,51.417,16027021300,632
212,65.101,48113010002,756
213,59.668,21059001401,1770
214,57.733999999999995,54003972002,709
215,68.77199999999999,49011126205,2226
216,61.19,34013007400,441
217,67.546,08001008200,1007
219,78.0295,06071009129,2733
220,62.917,40011958900,946
221,59.471500000000006,48163950302,8211
222,59.471500000000006,48163950302,8211
223,57.741,55027961100,1491
224,66.038,35013000205,1068
225,61.628,45035010603,1250
226,55.032,55031020500,1119
227,54.101,48215024600,2216
228,58.1515,48095950300,12503
229,72.355,48141001700,420
230,63.935,48141003404,1344
231,54.538,48489950400,3310
232,62.647,34039030200,1063
233,58.1115,16039960202,2548
234,64.26,04021002005,1789
235,63.807,42049001300,361
236,64.24566666666666,48141004314,192
237,61.404,01055000800,1161
238,56.96,51147930201,2121
239,58.238,21067003702,1100
240,69.008,13121006801,237
241,68.455,42101000100,457
242,60.21549999999999,20055960505,978
243,67.182,04021000904,2036
244,67.182,04021000904,1941
245,54.197500000000005,12021011107,25540
246,61.975,13115000600,658
247,54.948,13049010102,7202
248,54.948,13049010102,6810
249,54.948,13049010102,6574
250,59.227,42055010900,1429
251,60.721,27047180900,1146
252,59.879,18049953100,1633
253,65.43299999999999,40049681300,1110
254,62.2585,37071031901,640
255,64.261,39055310900,5185
256,57.147999999999996,12043000202,9077
257,70.7645,06029004702,1239
258,56.948,38035010200,1052
259,57.584,21085950300,5261
260,58.7145,29077004304,1888
