object_id,flood_risk_area_m2,flood_risk_percent,wildfire_risk,lst_avg,NLCD_Percent_Tree_Canopy_Cover,flood_risk_area_m2_pcntl,flood_risk_percent_pcntl,wildfire_risk_pcntl,lst_avg_pcntl,NLCD_Percent_Tree_Canopy_Cover_pcntl,NLCD_Percent_Tree_Canopy_Cover_pcntl_pcntl,climate_score
22,0,0,45.95348837209303,31.41118251928025,29.98876386610319,25.13368983957219,25.13368983957219,68.23529411764706,23.92156862745098,18.823529411764707,18.823529411764707,26.737382550255735
23,2403707.416006471,76.39813274014038,10370.348837209302,32.36528268551238,2.8067027928683386,96.79144385026738,96.79144385026738,99.6078431372549,32.549019607843135,71.76470588235294,71.76470588235294,73.40424913757155
24,0,0,9.69047619047619,55.50389770723106,0.1015132006970004,25.13368983957219,25.13368983957219,43.92156862745098,98.0392156862745,92.54901960784314,92.54901960784314,53.44277119275317
25,NA,NA,19.34090909090909,45.587530592863956,8.359739980206978,NA,NA,51.37254901960784,88.23529411764706,53.72549019607843,53.72549019607843,60.14278800676119
26,128637.38374229269,4.092082650679064,0.022222222222222223,40.869717314487666,10.76981553915297,45.45454545454545,45.45454545454545,6.666666666666667,76.86274509803923,44.70588235294118,44.70588235294118,35.83038175122113
27,NA,NA,47.69047619047619,34.43000000000001,16.00710964960722,NA,NA,69.41176470588235,44.70588235294118,32.549019607843135,32.549019607843135,42.581248911206124
28,NA,NA,1.255813953488372,38.94485008818344,5.576092745539141,NA,NA,21.176470588235293,70.19607843137254,61.96078431372549,61.96078431372549,48.8764957024233
29,1523178.4734314312,48.42799206780426,2.6818181818181817,45.850571428571484,3.808342729581667,95.18716577540107,95.18716577540107,31.372549019607842,89.41176470588236,67.05882352941175,67.05882352941175,69.66300228503351
30,NA,NA,152.61904761904762,30.204946996466475,14.563063580201304,NA,NA,88.23529411764706,15.686274509803921,35.294117647058826,35.294117647058826,36.23612103812968
31,NA,NA,50.42857142857143,32.320017636684334,22.563576988478783,NA,NA,69.80392156862744,31.76470588235294,25.49019607843137,25.49019607843137,34.6451745052005
32,NA,NA,171.26190476190476,28.805731922398618,29.24907885793137,NA,NA,90.19607843137256,9.411764705882353,19.607843137254903,19.607843137254903,23.90174403286477
33,51190.23335134663,1.6316555926564336,21.636363636363637,32.82781305114641,15.18522019402386,34.75935828877005,34.75935828877005,52.94117647058824,36.470588235294116,34.509803921568626,34.509803921568626,37.49391639394136
34,723998.2388177532,23.085666378049034,8.311111111111112,32.52356012995948,18.807768868883308,76.47058823529412,76.47058823529412,40.78431372549019,33.72549019607843,29.80392156862745,29.80392156862745,43.88652416574519
35,NA,NA,235.7674418604651,36.5803703703704,27.3128702465125,NA,NA,93.33333333333333,59.21568627450981,21.176470588235293,21.176470588235293,39.67757996348844
36,NA,NA,93.45454545454545,36.04278104960087,14.493279237960852,NA,NA,80,56.470588235294116,35.68627450980392,35.68627450980392,48.97547768550371
37,875787.4249398549,27.92662030954347,5.790697674418604,35.481042402826894,1.143429651879148,81.81818181818183,81.81818181818183,38.43137254901961,51.76470588235295,83.13725490196079,83.13725490196079,67.19471391764277
38,1252059.0994664363,39.9330238509745,0.38636363636363635,35.701399737294906,1.8807978300041217,89.83957219251337,89.83957219251337,13.725490196078432,54.11764705882353,78.43137254901961,78.43137254901961,57.693952386154265
39,816912.518973784,26.018210594867508,1.0476190476190477,38.30388007054677,10.891075791702146,80.74866310160428,80.74866310160428,19.607843137254903,67.84313725490196,44.31372549019608,44.31372549019608,50.72403875594238
40,3143094.4733614796,100.00000000000438,3.3181818181818183,34.40173451327438,0.02615860196084234,99.46524064171123,100,33.72549019607843,44.31372549019608,95.68627450980392,95.68627450980392,71.7207012491244
41,87295.77171284363,2.7789257944034413,2.238095238095238,45.49373897707234,1.012403806230341,41.17647058823529,41.17647058823529,29.411764705882355,87.84313725490196,84.31372549019608,84.31372549019608,56.09023843739763
42,2887144.4725838867,91.88824831769054,65.66666666666667,32.49382300884959,43.36762574211914,98.3957219251337,98.3957219251337,72.54901960784314,33.33333333333333,9.411764705882353,9.411764705882353,35.71090103079158
43,446787.1714676894,14.246891625518701,0.23809523809523808,34.82906603131384,8.66836286250933,65.24064171122996,65.24064171122996,11.76470588235294,47.84313725490196,52.54901960784314,52.54901960784314,43.32724432012967
44,341846.51532537496,10.897204429303137,0,38.02614840989403,10.656556924523978,58.82352941176471,58.82352941176471,6.2745098039215685,66.66666666666666,45.490196078431374,45.490196078431374,37.96683425166979
45,0,0,0,40.01438162544172,1.294637187422967,25.13368983957219,25.13368983957219,6.2745098039215685,75.29411764705883,82.74509803921568,82.74509803921568,35.62238423952291
46,11327.063442899296,0.36010852476164423,29.73913043478261,36.4646358792185,8.121697352414538,27.807486631016044,27.807486631016044,58.03921568627452,58.03921568627452,54.11764705882353,54.11764705882353,44.36842980488528
47,147155.54732891524,4.691458813118359,4.880952380952381,36.01109540636045,0.1800781471847704,46.524064171122994,46.524064171122994,36.86274509803922,55.68627450980392,90.98039215686275,90.98039215686275,57.66749983223441
48,727970.6559514903,23.16380244019963,133.33333333333334,37.44664304105484,17.336402640264023,77.54010695187165,77.54010695187165,87.05882352941177,63.13725490196078,31.76470588235294,31.76470588235294,56.733576131731056
49,0,0,0,51.78183745583043,0.2935472279961247,25.13368983957219,25.13368983957219,6.2745098039215685,94.50980392156862,88.62745098039215,88.62745098039215,37.85450870805909
50,0,0,0.023255813953488372,30.135557522123925,0.3125210819872094,25.13368983957219,25.13368983957219,7.450980392156863,15.294117647058824,88.23529411764706,88.23529411764706,28.713700813536164
